district,info,latitude,longitude,count,update_date,update_year,update_month,lamp_addr,depth1,depth2,main_addr_no,sub_addr_no,latitude,longitude,address
관악구,AD003 1-1RZ 관음사 주변 (남현동 산57-47),37.468,126.9769,1,1,2022.0,12.0,,서울,관악구,65,,,,서울 관악구 남현동 산 65
관악구,AD004 1-1RZ 무장애등산로#2 (대학동 산52),37.4565,126.9471,1,1,2022.0,12.0,,서울,관악구,56,2,,,서울 관악구 신림동 산 56-2
관악구,AD005 1-1RZ 무장애등산로#3 (대학동 산52),37.4547,126.9481,1,1,2022.0,12.0,,서울,관악구,52,,,,서울 관악구 신림동 산 52
관악구,AD006 1-1RZ 상도근린공원 (보라매동 산133-20),37.4925,126.935,1,1,2022.0,12.0,,서울,관악구,133,20,,,서울 관악구 봉천동 산 133-20
관악구,AD007 1-1RZ 상도근린공원 유아숲체험장 (성현동 1712-22),37.4937,126.9483,1,1,2022.0,12.0,,서울,관악구,133,20,,,서울 관악구 봉천동 산 133-20
관악구,AD009 1-1RZ 장군봉근린공원 배드민턴장 01 (서원동 산 170-137),37.4814,126.9347,1,1,2022.0,12.0,,서울,관악구,170,130,,,서울 관악구 신림동 산 170-130
관악구,AD008 1-1RZ 상도근린공원#2 (성현동 1712-6),37.4913,126.9521,1,1,2022.0,12.0,,서울,관악구,1712,6,,,서울 관악구 봉천동 1712-6
관악구,AD010 1-1RZ 상도근린공원 국사봉체육관 (은천동 산103-75),37.492,126.9415,1,1,2022.0,12.0,,서울,관악구,103,73,,,서울 관악구 봉천동 산 103-73
관악구,AD011 1-1RZ 인헌자락공원 (인헌동 산3-6),37.4681,126.9702,1,1,2022.0,12.0,,서울,관악구,3,10,,,서울 관악구 봉천동 산 3-10
관악구,AD012 1-1RZ 군인APT 둘레길 (인헌동 180-255),37.4682,126.9694,1,1,2022.0,12.0,,서울,관악구,17,3,,,서울 관악구 봉천동 산 17-3
관악구,AD013 1-1RZ 까치산근린공원 (청림동 1706-2),37.4851,126.9622,1,1,2022.0,12.0,,서울,동작구,32,126,,,서울 동작구 사당동 산 32-126
관악구,AD014 1-1RZ 장군봉근린공원 북쪽등산로 입구 (청룡동 산149-8),37.4815,126.9367,1,1,2022.0,12.0,,서울,관악구,149,8,,,서울 관악구 봉천동 산 149-8
관악구,AD015 1-1R 충효어린이공원 (청룡동 1526-1),37.4812,126.9413,1,1,2022.0,12.0,,서울,관악구,1526,1,,,서울 관악구 봉천동 1526-1
관악구,AD019 1-1RZ 까치산근린공원 미술고 뒤 (행운동 1690-172),37.4769,126.9677,1,1,2022.0,12.0,,서울,관악구,66,1,,,서울 관악구 봉천동 산 66-1
관악구,AD020 1-1RZ 생태육교 북쪽 (행운동 산66-2),37.4757,126.9707,1,1,2022.0,12.0,,서울,동작구,55,2,,,서울 동작구 사당동 산 55-2
관악구,AD021 1-1RZ 까치산근린공원 (행운동 100-2),37.4833,126.9603,1,1,2022.0,12.0,,서울,관악구,1728,2,,,서울 관악구 봉천동 1728-2
관악구,AD018 1-1R 송학어린이공원#2 (청룡동 877-21),37.4802,126.9493,1,1,2022.0,12.0,,서울,관악구,877,21,,,서울 관악구 봉천동 877-21
관악구,AD016 1-1RZ 장군봉근린공원 입구 (서원동 산1-270),37.4789,126.939,1,1,2022.0,12.0,,서울,관악구,1,275,,,서울 관악구 신림동 산 1-275
관악구,AD022 1-1RZ 까치산근린공원#4 (행운동 산67-32),37.4803,126.965,1,1,2022.0,12.0,,서울,동작구,32,130,,,서울 동작구 사당동 산 32-130
